business_id,name,full_address,street,city,state,postal_code,country,latitude,longitude,review_count,rating,phone_number,timezone,website,place_id,place_link,types,tags,price_level,sunday_hours,monday_hours,tuesday_hours,wednesday_hours,thursday_hours,friday_hours,saturday_hours,verified,description,facebook,instagram,tiktok,snapchat,twitter,linkedin,github,youtube,pinterest,website_title,website_description,email_1,email_2,email_3,email_4,email_5,email_6,email_7,email_8,email_9,website_phone_number_1,website_phone_number_2,website_phone_number_3,website_phone_number_4,website_phone_number_5,website_phone_number_6
"0x4cce0585435bffc3:0x350f69201467be74","John The Plumber","1541 Riverside Dr., Ottawa, ON K1G 4E2","1541 Riverside Dr.","Ottawa","ON","K1G 4E2","Canada","45.4091504","-75.6626732","2427","4.8","+16137065315","America/Toronto","https://johntheplumber.ca/","ChIJw_9bQ4UFzkwRdL5nFCBpDzU","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x4cce0585435bffc3:0x350f69201467be74","Plumber | Drainage service","plumbing","","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","true","","https://www.facebook.com/JohnThePlumberOttawa","https://www.instagram.com/johntheplumberbarrhaven","https://www.tiktok.com/@johntheplumbercanada","","https://twitter.com/jtpottawa","https://www.linkedin.com/company/john-the-plumber-ottawa","","https://www.youtube.com/@JohnThePlumber","","Fast, Award-Winning Plumbing & Drain Services – Same-Day Solutions","Call Ottawa's John The Plumber with any plumbing, drain, water heater, or furnace challenge - big or small, day or night","john@johntheplumber.ca","debbie@johntheplumber.ca","sherri.a@johntheplumber.ca","logan.vancingel@unb.ca","sseevvaagg@hotmail.com","protectiveplumbing@ottawa.ca","mtenute@gmail.com","mukaley83@gmail.com","alphonse.ndimbani@gmail.com","2896443856","9056450467","2894831367","6478126108","6132277465","26132277465"
"0x4cce058877731ff9:0x69c2c5c73714e75e","Offset Plumbing","164 First Ave, Ottawa, ON K1S 2G4","164 First Ave","Ottawa","ON","K1S 2G4","Canada","45.404585999999995","-75.6880575","97","5","+16137039749","America/Toronto","https://offsetplumbing.ca/","ChIJ-R9zd4gFzkwRXucUN8fFwmk","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x4cce058877731ff9:0x69c2c5c73714e75e","Plumber","plumbing","","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","true","","https://www.facebook.com/profile.php","https://www.instagram.com/offset.plumbing","","","","","","","","Offset Plumbing: Ottawa's most dependable plumbing service.","Ottawa's Most Dependable Plumbing Service. 24/7 emergency service. Contact Offset Plumbing today!","services@offsetplumbing.ca","emailservices@offsetplumbing.ca","","","","","","","","+1 613 703 9749","","","","",""
"0x4ccdfa39a6f6117b:0xabca1e64587ea835","Horizon Plumbing & Piping Systems","","","","","","Canada","45.264658399999995","-75.784983","402","4.9","+16138295960","America/Toronto","https://horizonplumbing.ca/","ChIJexH2pjn6zUwRNah-WGQeyqs","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x4ccdfa39a6f6117b:0xabca1e64587ea835","Plumber | Service establishment","plumbing","","Closed","7 a.m.–4 p.m.","7 a.m.–4 p.m.","7 a.m.–4 p.m.","7 a.m.–4 p.m.","7 a.m.–4 p.m.","Closed","true","","https://www.facebook.com/plumbingottawa","","","","","","","","","Horizon Plumbing - Reliable Plumbing Services in Ottawa","Horizon Plumbing offers reliable, expert plumbing services in Ottawa, Nepean, and Kanata. From repairs to installations, trust us for quality solutions.","info@horizonplumbing.ca","","","","","","","","","+1 613 829 5960","","","","",""
"0x4cce057758e7647b:0x7a2049acecd865b0","Plumbing Express","323 Coventry Rd #33, Ottawa, ON K1K 3X6","323 Coventry Rd #33","Ottawa","ON","K1K 3X6","Canada","45.4216762","-75.6581601","15","4.7","+16137916200","America/Toronto","https://www.plumbingexpress.ca/","ChIJe2TnWHcFzkwRsGXY7KxJIHo","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x4cce057758e7647b:0x7a2049acecd865b0","Plumber","plumbing","","8 a.m.–8 p.m.","8 a.m.–8 p.m.","8 a.m.–8 p.m.","8 a.m.–8 p.m.","8 a.m.–8 p.m.","8 a.m.–8 p.m.","8 a.m.–8 p.m.","true","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0x4cce07c42fd1f9ff:0x388b1e72d3ac4880","Plumbing Now","2487 Kaladar Ave #2120, Ottawa, ON K1V 8B9","2487 Kaladar Ave #2120","Ottawa","ON","K1V 8B9","Canada","45.374942","-75.66857399999999","309","4.8","+16138009696","America/Toronto","https://www.plumbingnow.ca/?utm_source=gbp&utm_medium=organic","ChIJ__nRL8QHzkwRgEis03Ieizg","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x4cce07c42fd1f9ff:0x388b1e72d3ac4880","Plumber","plumbing","","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","12 a.m.–5 p.m.","Closed","true","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0x4cce045332ad1739:0x4ad1051f33262cec","Ottawa Drain Services","375 Lisgar St #902, Ottawa, ON K2P 0E3","375 Lisgar St #902","Ottawa","ON","K2P 0E3","Canada","45.4161915","-75.69909059999999","31","4.8","+16138042544","America/Toronto","https://ottawadrainservices.ca/","ChIJORetMlMEzkwR7CwmMx8F0Uo","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x4cce045332ad1739:0x4ad1051f33262cec","Plumber","plumbing","","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","true","","","","","","","","","","","Residential Drain Cleaning - Ottawa Drain Services","Ottawa Drain Services provides professional drain cleaning, clogged drain repair, and emergency drain service in Ottawa. Using advanced equipment, we unclog drains the first time.","ottawadrainservices@gmail.com","","","","","","","","","+1 613 804 2544","","","","",""
"0x4cce05e028f92aeb:0x7f67cac21e7a6ce1","Environmental Plumbing & Drain Cleaning","610 Somerset St W 1st floor, Ottawa, ON K1R 5K4","610 Somerset St W 1st floor","Ottawa","ON","K1R 5K4","Canada","45.4120955","-75.703913","138","4.9","+16135195931","America/Toronto","https://environmentalplumbing.ca/downtown-ottawa/?utm_campaign=gmb","ChIJ6yr5KOAFzkwR4Wx6HsLKZ38","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x4cce05e028f92aeb:0x7f67cac21e7a6ce1","Plumber | Drainage service","plumbing, cleaning, septic","","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","true","","https://www.facebook.com/environmentalplumbingottawa","https://www.instagram.com/environmentalplumbing","","","","","","https://www.youtube.com/@EnvironmentalPlumbingCanada","","Ottawa Plumbing and Drain Cleaning - Same-Day Plumbers With Environmental Plumbing and Drains","Environmental Plumbing and Drains Ottawa is a Plumbing company setup by expert Gary Greco. Over 35 years of local experience, we offer expert drain cleaning, plumbing services in Nepean, Barrhaven, Kanata and Ontario West.","","","","","","","","","","","","","","",""
"0x4cce0f7a0b3e4153:0x5e9138ab53f58ec9","The Super Plumber - Ottawa","1181 Parisien St Unit B, Ottawa, ON K1B 4W4","1181 Parisien St Unit B","Ottawa","ON","K1B 4W4","Canada","45.420307799999996","-75.62790389999999","427","4.9","+16133171918","America/Toronto","https://www.thesuperplumber.com/?utm_source=google&utm_medium=gmb&utm_campaign=superplumber-ottawa-gmb","ChIJU0E-C3oPzkwRyY71U6s4kV4","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x4cce0f7a0b3e4153:0x5e9138ab53f58ec9","Plumber | Drainage service | Hot water system supplier | Plumbing supply store | Repair Service | Water filter supplier | Water softening equipment supplier | Water treatment supplier","retail, department-store, wholesale, plumbing, plumbing-supply","","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","true","","https://www.facebook.com/TheSuperPlumberRT","https://www.instagram.com/Superplumbers","https://www.tiktok.com/@thatplumberguywnw","","https://x.com/en","https://www.linkedin.com/in/aaron-hunter-bb6b05132","","http://www.youtube.com/@TheSuperPlumber","https://www.pinterest.com/thesuperplumber","Plumbing You Can Rely On | The Super Plumber","Need a Plumber you can trust? The Super Plumber offers emergency plumbing repairs, drain cleaning, sewer services, water treatment solutions, water heater installations and more. Call today for fast plumbing service!","sara@thesuperplumber.com","brody.f@thesuperplumber.com","privacyofficer@right-time.ca","","","","","","","8444787375","+1 844 478 7375","+1 833 908 1448","","",""
"0x4cce0ec4816bf2b9:0x32be465452109356","Mr. Rooter Plumbing of Ottawa","3900 Russell Rd, Ottawa, ON K1G 3N2","3900 Russell Rd","Ottawa","ON","K1G 3N2","Canada","45.3854362","-75.5968915","1899","4.7","+16132099417","America/Toronto","https://www.mrrooter.ca/ottawa/?utm_source=gmb&utm_campaign=local&utm_medium=organic","ChIJufJrgcQOzkwRVpMQUlRGvjI","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x4cce0ec4816bf2b9:0x32be465452109356","Plumber | Drainage service | Hot water system supplier | Plumbing supply store | Septic system service | Water pump supplier","retail, department-store, wholesale, plumbing, septic, plumbing-supply","","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","true","","https://www.facebook.com/MrRooterLLC","https://www.instagram.com/mrrooterllc","","","https://www.twitter.com/MrRooter123","https://www.linkedin.com/company/mr-rooter-llc","","https://www.youtube.com/c/mrrooter","https://www.pinterest.com/mrrooterplumbing","Plumbing Company - Drain Cleaning Professionals | Mr. Rooter Plumbing","We are a locally owned and operated plumbing company that offers 24/7 plumbing and draining cleaning with no overtime charges. Call us today!","winnipeg@mrrooter.ca","office@rootermail.com","floodprevention@epcor.com","service@mymrrooter.com","","","","","","8555910128","6044335555","+1 855 591 0128","","",""
"0x4cce05f7634f5a75:0x78cf7ac70476e736","Ottawa Plumbing Service","69 William St #204, Ottawa, ON K1P 5J6","69 William St #204","Ottawa","ON","K1P 5J6","Canada","45.4273545","-75.6916845","16","4","+16133171682","America/Toronto","https://ottawaplumbingservice.com/","ChIJdVpPY_cFzkwRNud2BMd6z3g","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x4cce05f7634f5a75:0x78cf7ac70476e736","Plumber","plumbing","","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","true","","","","","","","","","","","Ottawa Plumbing Service — Licensed Plumbers, 24/7 Emergency","Licensed plumbing repair and installation across Ottawa, Nepean, Orleans, Kanata, Stittsville and Gatineau.","info@ottawaplumbingservice.com","","","","","","","","","+1 613 317 1682","","","","",""
